City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vilyuchinsk,52.9306,158.4028,3.15,92,100,5.48,RU,1700414139
1,preobrazheniye,42.9019,133.9064,-0.73,69,27,4.55,RU,1700414133
2,usinsk,65.9939,57.5281,-12.18,96,96,4.02,RU,1700414328
3,ushuaia,-54.8,-68.3,3.81,70,75,8.23,AR,1700414045
4,edinburgh of the seven seas,-37.0676,-12.3116,12.68,70,49,11.38,SH,1700414328
5,fortaleza,-3.7227,-38.5247,31.07,68,40,7.2,BR,1700414328
6,port-aux-francais,-49.35,70.2167,6.61,96,100,18.46,TF,1700414098
7,yellowknife,62.456,-114.3525,-2.55,96,100,3.09,CA,1700414262
8,pesqueira,-8.3578,-36.6964,36.03,22,9,3.45,BR,1700414329
9,papatowai,-46.5619,169.4708,9.37,81,100,2.3,NZ,1700414329
10,west island,-12.1568,96.8225,25.99,73,40,5.66,CC,1700414330
11,waitangi,-43.9535,-176.5597,10.46,97,100,1.34,NZ,1700414330
12,stanley,54.868,-1.6985,10.01,94,20,2.57,GB,1700414330
13,san patricio,28.017,-97.5169,26.92,64,32,5.53,US,1700414051
14,aykhal,66.0,111.5,-18.9,98,100,4.26,RU,1700414034
15,invercargill,-46.4,168.35,8.9,88,54,0.89,NZ,1700414331
16,sabang,5.8933,95.3214,28.11,79,55,6.25,ID,1700414332
17,bayji,34.9311,43.487,19.61,58,99,9.95,IQ,1700414332
18,avarua,-21.2078,-159.775,23.03,73,75,4.63,CK,1700414332
19,fale old settlement,-9.3852,-171.2468,29.07,77,27,8.21,TK,1700414332
20,pandan,14.0453,124.1694,26.17,88,99,8.19,PH,1700414333
21,new plymouth,-39.0667,174.0833,15.45,91,100,5.71,NZ,1700414333
22,udachny,66.4167,112.4,-20.31,83,100,3.86,RU,1700414073
23,urumqi,43.801,87.6005,3.53,70,100,2.0,CN,1700414333
24,nemuro,43.3236,145.575,9.24,73,59,10.33,JP,1700414333
25,sinop,41.7711,34.8709,7.24,68,69,5.43,TR,1700414334
26,burao,9.5221,45.5336,25.33,53,100,3.95,SO,1700414334
27,urucara,-2.5364,-57.76,40.95,24,88,0.59,BR,1700414334
28,buka,40.8108,69.1986,13.13,66,49,0.49,UZ,1700414334
